segment_index	target_text	reason
5	Ou seja, vocês decidiram construir um agente por cliente.	Continuidade do fragmento anterior.
10	Se você nunca enfrentou o medo — se nunca o sentiu —, então ainda não tentou usar IA.	Clareza sem alterar o sentido.
12	Do CEO aos engenheiros de IA e aos mecânicos, treinamos todos.	Coordenação e português natural.
16	Bem-vindos de volta ao podcast da a16z.	Nome oficial e fórmula de abertura.
17	Hoje temos Ale Maza, chefe de IA da Kavak.	Grafia confirmada pela fonte oficial.
18	Hoje vamos discutir a transformação que Ale liderou na Kavak	Sentido de led within.
19	para torná-la uma empresa nativa de IA.	Continuidade do fragmento anterior.
20	Obrigado, Ale, por estar conosco hoje.	Português brasileiro natural.
21	Obrigado pelo convite.	Perspectiva correta de Thanks for having me.
23	Isso mesmo.	Equivalência idiomática.
25	Você quer nos contar um pouco sobre essa trajetória?	Journey em contexto profissional.
29	E fundamos uma empresa com a visão muito ambiciosa de que novos modelos de aprendizado de máquina	Remove conteúdo do segmento seguinte incorporado pelo revisor contextual.
38	E nos juntamos à Kavak e ao Carlos para construir isso.	Correção pronominal.
44	Então compramos carros, os recondicionamos e depois os vendemos e financiamos.	Verbos do negócio com pronomes naturais.
45	Mas, para fazer isso, também tivemos de construir uma fintech, uma empresa de logística, algo como a Carfax e...	Preserva fragmento incompleto e sentido da enumeração.
48	Vou começar dando uma visão de como é a arquitetura.	Tradução natural de framing.
50	Com quantos agentes esse consumidor interage?	Restaura agents, omitido pelo revisor contextual.
51	Como é a estrutura de orquestração?	Harness no contexto de agentes.
59	Então, o agente guarda tudo na memória, formula uma estratégia e define a meta de longo prazo de maximizar o valor desse cliente ao longo do relacionamento, fazendo o que for necessário para deixá-lo satisfeito.	Restaura o agente como sujeito e evita imperativo indevido.
65	Vamos entrar nos detalhes disso.	Equivalência idiomática.
66	Mas, em contraste com muitas empresas que dizem “queremos nos tornar agênticas” e testam alguns fluxos de trabalho...	Agentic no contexto organizacional.
67	Vocês adotaram uma abordagem radical — tipo, precisávamos fazer isso funcionar.	Sentido contextual de trecho acústico pouco claro.
71	Você quer explicar isso? Obviamente, foi preciso ajustar muitas coisas para fazê-lo funcionar.	Tune em contexto técnico.
72	Descreva a estrutura de orquestração naquela época, quais modelos vocês usavam e os detalhes específicos.	Harness no contexto de agentes.
80	Isso significa reconstruir a maioria das APIs e os sistemas para que os agentes consigam usar tudo isso na execução das tarefas.	Referência pronominal clara.
81	Depois, é preciso começar a gerar dados e ciclos de feedback para ajustar esses agentes.	Terminologia de aprendizado de máquina.
83	Como ensiná-los?	Objeto plural preservado.
84	Você os coloca em operação.	Sentido contextual de out in the open.
85	Você os coloca diante dos clientes.	Objeto masculino preservado.
95	Costumávamos medir quantos carros comprávamos e vendíamos e quantos freios — quantas pastilhas de freio — precisávamos comprar.	Preserva autocorreção oral e termo automotivo.
98	Só ativar 1% dessa base de clientes representa centenas de milhões de dólares, se fizermos isso da maneira certa.	Português natural e número preservado.
99	Foi uma aposta que fez sentido para nós por causa do setor, do alto valor das transações e porque, no fim das contas,	Ticket no contexto comercial.
102	Ale, eu só queria aprofundar um ponto.	Equivalência idiomática de double-click.
103	Sabe, evals em vez de demonstrações de agentes.	Correção acústica verificada e termo técnico preservado.
105	Provavelmente você recebe muitas propostas de agentes e, sabe, nunca foi tão fácil construir coisas.	Sentido de get pitched.
108	E acredito que cerca de 98% das interações, ou algo assim, agora são conduzidas por agentes.	Handled em contexto de atendimento.
110	Para dar uma ideia da escala, 96% de todas as interações são conduzidas por agentes.	Handled em contexto de atendimento.
113	Obviamente, você encontra uma pessoa quando retira o carro: há alguém fisicamente presente para entregar as chaves.	Clareza e fidelidade.
115	Todos os dias, entre 100.000 e 200.000 agentes são instanciados.	Remove redundância temporal.
122	E a resposta que você mencionou são as evals.	Concordância e termo técnico.
126	Você só pisa no acelerador quando tem os freios certos.	Metáfora automotiva.
130	Quão rápido podemos avançar?	Restaura fast.
